feature,rf_importance,shap_importance,rf_rank,shap_rank,rank_diff
acc_y_mean,0.09191097412570308,0.55623865,1,2,1
acc_x_mean,0.07409624254486251,0.5821366,2,1,1
acc_z_mean,0.05066217850923311,0.48497072,3,3,0
acc_sma,0.05006177294508741,0.38171104,4,6,2
acc_mag_mean,0.04317606401445226,0.40503904,5,5,0
acc_mag_std,0.042074884232653736,0.4058796,6,4,2
acc_energy,0.03789955425709194,0.16693163,7,15,8
acc_y_std,0.03367541273185432,0.33883536,8,7,1
temp_min,0.032139976994356764,0.26201656,9,10,1
temp_max,0.030880744361486714,0.21577074,10,13,3
temp_mean,0.03033106611042815,0.13331252,11,22,11
acc_x_std,0.028498925678053497,0.13888635,12,18,6
acc_mag_min,0.02543355295523676,0.07188271,13,34,21
eda_phasic_mean,0.0253707924861787,0.14121689,14,17,3
eda_scr_amp_mean,0.022756396911422616,0.12270818,15,24,9
acc_z_std,0.022010703695008734,0.11124483,16,26,10
acc_entropy,0.02153388103500082,0.14257668,17,16,1
bvp_std,0.020235089681236315,0.13463502,18,21,3
temp_std,0.020139309730071372,0.102471985,19,28,9
eda_mean,0.01923255619458371,0.11911863,20,25,5
eda_tonic_mean,0.01893094078238111,0.046422184,21,37,16
acc_mag_max,0.01873700868681482,0.10498195,22,27,5
eda_min,0.01824587232502864,0.3193891,23,8,15
eda_max,0.018013656561530405,0.21458106,24,14,10
eda_scr_count,0.017399246519119047,0.13542192,25,20,5
hr_mean,0.01679905114629016,0.22611587,26,11,15
hr_std,0.016696029198449664,0.1387393,27,19,8
temp_range,0.01614712828512615,0.09509963,28,30,2
eda_std,0.015699897926852474,0.28708437,29,9,20
eda_range,0.015501229986955453,0.2221378,30,12,18
bvp_max,0.013879118641648435,0.08873785,31,31,0
bvp_min,0.013564082657034448,0.08330838,32,32,0
bvp_range,0.013502878152558278,0.05574956,33,36,3
hrv_sdnn,0.013419499792004373,0.07103128,34,35,1
hrv_pnn50,0.011855194485491804,0.082351066,35,33,2
hrv_rmssd,0.01177930602598409,0.042819846,36,38,2
eda_slope,0.010626926002674567,0.13252412,37,23,14
temp_slope,0.01051562789613292,0.098121494,38,29,9
bvp_mean,0.006567225733920759,0.016864268,39,39,0
