feature1,feature2,interaction_importance,accuracy_with_interaction,accuracy_gain
temp_range,acc_x_std,0.09308252,0.8150261531145981,-0.11364717070851171
temp_range,acc_mag_std,0.06564444,0.818830242510699,-0.10984308131241083
temp_range,eda_scr_count,0.022747884,0.8112220637184974,-0.11745126010461249
temp_range,eda_range,0.019006,0.8126485972420352,-0.11602472658107466
hr_std,temp_range,0.018731609,0.814075130765573,-0.11459819305753682
hr_std,eda_range,0.01718823,0.8155016642891108,-0.1131716595339991
hr_mean,eda_range,0.015641944,0.8159771754636234,-0.11269614835948649
temp_range,eda_min,0.015636018,0.8126485972420352,-0.11602472658107466
hr_mean,eda_min,0.014514357,0.8112220637184974,-0.11745126010461249
temp_range,hr_mean,0.013546482,0.8183547313361864,-0.11031859248692344
hr_std,hr_mean,0.013051381,0.8202567760342369,-0.108416547788873
hr_std,acc_mag_std,0.012154863,0.8112220637184974,-0.11745126010461249
hr_std,eda_min,0.01135602,0.8169281978126486,-0.11174512601046127
hr_std,acc_x_std,0.01132484,0.8135996195910604,-0.11507370423204943
acc_x_std,eda_scr_count,0.0112718325,0.8126485972420352,-0.11602472658107466
hr_std,eda_scr_count,0.0108963335,0.816452686638136,-0.11222063718497388
hr_mean,eda_scr_count,0.008955112,0.8178792201616738,-0.11079410366143605
hr_mean,acc_mag_std,0.008275986,0.8155016642891108,-0.1131716595339991
acc_x_std,eda_range,0.007517455,0.8150261531145981,-0.11364717070851171
hr_mean,acc_x_std,0.006113752,0.814075130765573,-0.11459819305753682
