train_samples,train_accuracy_mean,train_accuracy_std,val_accuracy_mean,val_accuracy_std
672,1.0,0.0,0.7483335113505423,0.01057321389508369
1345,0.9998513011152417,0.00029739776951673844,0.805779570367845,0.006174234668567711
2017,0.9991075855230541,0.0005781806539261429,0.8280205924648498,0.008067079083589588
2690,0.9972490706319702,0.0008983677303788083,0.849427715935464,0.006397767682905828
3363,0.9947665774606008,0.0006122884413313548,0.8615585394855139,0.009604764906492471
4035,0.9907806691449814,0.0003287856049918721,0.8715491246151116,0.008805742393622102
4708,0.9874681393372982,0.0007833087899144499,0.8755930625632639,0.009151823571804463
5380,0.9856133828996281,0.002085100916339067,0.8824921607587353,0.011661437592764334
6053,0.9823228151329919,0.001697701315534792,0.8885577847397048,0.007537293285725809
6726,0.9801070472792149,0.0009880016488751618,0.8940278173699054,0.009134012453256323
